Console,Title,Loose Price,CIB Price
GameBoy,Pokemon Red,$66.04,$357.49
GameBoy,Pokemon Yellow,$69.99,$351.45
GameBoy,Pokemon Blue,$65.00,$313.00
GameBoy,Original Gameboy System,$70.00,$297.19
GameBoy,Super Mario Land,$17.70,$110.16
GameBoy,Zelda Link's Awakening,$44.74,$209.99
GameBoy,Tetris,$20.49,$25.03
GameBoy,Super Mario Land 2,$20.73,$99.74
GameBoy,Metroid 2 Return of Samus,$32.00,$255.75
GameBoy,Kirby's Dream Land,$24.49,$94.21
GameBoy,Wario Land Super Mario Land 3,$25.57,$109.70
GameBoy,Pokemon Yellow [First Print],$58.80,$380.00
GameBoy,Donkey Kong,$27.16,$84.65
GameBoy,Donkey Kong Land,$16.76,$69.74
GameBoy,Mega Man 5,$255.49,"$1,400.00"
GameBoy,Dr. Mario,$12.95,$24.62
GameBoy,Teenage Mutant Ninja Turtles Fall of the Foot Clan,$13.95,$95.75
GameBoy,Kirby's Dream Land 2,$35.97,$160.55
GameBoy,Castlevania Adventure,$16.99,$165.00
GameBoy,Amazing Tater,$649.23,"$4,381.65"
GameBoy,Mega Man: Dr Wily's Revenge,$17.74,$92.18
GameBoy,Operation C,$37.50,$154.99
GameBoy,Final Fantasy Adventure,$40.01,$126.51
GameBoy,Wario Land II,$33.69,$140.05
GameBoy,Final Fantasy Legend 2,$33.00,$116.96
GameBoy,Donkey Kong Land 2,$15.00,$64.19
GameBoy,Silver Game Boy Pocket,$59.99,$250.00
GameBoy,Game Boy Printer,$57.00,$132.69
GameBoy,Analogue Pocket,$347.39,$387.34
GameBoy,Castlevania Legends,$140.00,$809.18
GameBoy,Castlevania II Belmont's Revenge,$63.73,$435.74
GameBoy,Kirby's Pinball Land,$14.98,$72.67
GameBoy,Pokemon Red [First Print],$63.52,$364.99
GameBoy,Blue Game Boy Pocket,$54.75,$81.57
GameBoy,Mega Man 2,$23.17,$134.99
GameBoy,Teenage Mutant Ninja Turtles II Back from the Sewers,$21.02,$219.70
GameBoy,Yoshi,$14.00,$63.53
GameBoy,Teenage Mutant Ninja Turtles III Radical Rescue,$61.57,"$1,060.45"
GameBoy,Gold Nintendo Power 100 Gameboy Pocket,"$1,621.83","$6,186.97"
GameBoy,Mega Man 4,$91.80,$985.23
GameBoy,Kid Dracula,$230.00,"$1,414.77"
GameBoy,Final Fantasy Legend,$29.80,$116.00
GameBoy,Alleyway,$10.00,$49.61
GameBoy,Gameboy [Clear Play It Loud],$90.62,$429.99
GameBoy,Donkey Kong Land III,$19.99,$99.62
GameBoy,Tasmania Story,$14.18,$86.10
GameBoy,King James Bible,$170.00,$464.99
GameBoy,Gameboy Camera,$45.00,$87.49
GameBoy,Spud's Adventure,$617.76,"$2,420.17"
GameBoy,Pac-Man,$9.99,$24.81
GameBoy,Duck Tales 2,$37.75,$174.52
GameBoy,Mr. Do!,$37.22,$167.44
GameBoy,Kid Icarus Of Myths and Monsters,$24.50,$139.75
GameBoy,Final Fantasy Legend 3,$34.95,$138.15
GameBoy,Gameboy Light,$119.00,$223.04
GameBoy,Duck Tales,$23.99,$115.50
GameBoy,Red Game Boy Pocket,$41.99,$182.50
GameBoy,Clear Game Boy Pocket,$62.50,$427.17
GameBoy,Star Wars,$15.25,$46.60
GameBoy,Bart Simpson's Escape from Camp Deadly,$15.33,$99.99
GameBoy,Gargoyle's Quest,$33.49,$140.00
GameBoy,Paperboy,$14.47,$37.86
GameBoy,Pokemon Blue [First Print],$54.97,$421.19
GameBoy,Game and Watch Gallery,$10.00,$66.27
GameBoy,F1 Race,$7.08,$28.03
