Console,Title,Loose Price,CIB Price
NES,Family Fun Fitness Stadium Events,"$19,000.00","$39,600.51"
NES,Super Mario Bros 3,$19.42,$75.00
NES,Legend of Zelda,$33.00,$199.99
NES,Nintendo NES Console,$87.92,$207.61
NES,Little Samson,"$1,750.00","$5,597.50"
NES,Super Mario Bros,$15.20,$268.12
NES,Super Mario Bros 2,$18.43,$61.02
NES,Zelda II The Adventure of Link,$24.87,$119.91
NES,Mike Tyson's Punch-Out,$39.99,$168.02
NES,Nintendo NES Action Set Console,$134.38,$297.79
NES,Super Mario Bros and Duck Hunt,$10.38,$44.66
NES,Teenage Mutant Ninja Turtles,$12.24,$75.00
NES,Bubble Bath Babes,"$2,156.15","$2,500.00"
NES,Duck Tales 2,$294.25,$747.47
NES,Contra,$39.86,$152.86
NES,Metroid,$27.29,$163.53
NES,Mega Man 5,$148.26,$550.05
NES,Final Fantasy,$26.87,$123.59
NES,Mega Man 2,$35.74,$154.75
NES,Mega Man,$87.99,$549.99
NES,Dr. Mario,$9.29,$29.97
NES,Tetris,$11.63,$29.34
NES,Flintstones Surprise at Dinosaur Peak,"$1,170.92","$3,687.66"
NES,Dragon Warrior,$7.85,$71.77
NES,Super Mario Bros. 3 [Left Bros],$26.47,$196.72
NES,Nintendo NES Classic Edition,$51.37,$94.00
NES,Castlevania,$29.98,$183.29
NES,Teenage Mutant Ninja Turtles III The Manhattan Project,$32.22,$192.20
NES,Mega Man 3,$24.99,$130.26
NES,Castlevania III Dracula's Curse,$38.07,$138.81
NES,Castlevania II Simon's Quest,$14.55,$73.61
NES,Kirby's Adventure,$29.99,$77.50
NES,Teenage Mutant Ninja Turtles II,$13.13,$119.99
NES,Duck Tales,$28.99,$99.99
NES,Chip and Dale Rescue Rangers 2,$359.73,"$1,109.40"
NES,Mega Man [5 Screw],"$6,595.50","$23,084.25"
NES,Friday the 13th,$15.91,$109.22
NES,Top Loading Nintendo NES Console,$186.61,$476.07
NES,Mega Man 6,$58.11,$260.00
NES,Contra Force,$140.23,$587.47
NES,Bucky O'Hare,$215.07,$539.52
NES,Double Dragon,$12.71,$74.97
NES,Panic Restaurant,"$1,025.94","$1,828.32"
NES,Mega Man 4,$43.62,$167.50
NES,Mickey Mousecapade,$9.97,$34.88
NES,Ninja Gaiden,$15.68,$84.55
NES,Batman The Video Game,$17.49,$80.10
NES,Super C,$21.99,$85.00
NES,Double Dragon II,$12.25,$63.72
NES,Battletoads,$26.72,$107.55
NES,Power Blade 2,"$1,211.82","$3,339.50"
NES,Donkey Kong Classics,$19.99,$49.99
